Date,MaxT_Red,MaxT_Orange,MaxT_Yellow,MaxT_Normal,MaxT_Records,MinT_Red,MinT_Orange,MinT_Yellow,MinT_Normal,MinT_Records,MaxT_Obs,MinT_Obs,HeatRisk
2021-01-01,85,79,67,62,77.0,67,64,57,41,59.0,60.0,37.0,0.0
2021-01-02,85,79,67,62,74.0,67,64,57,41,58.0,54.0,45.0,0.0
2021-01-03,85,79,67,62,75.0,67,64,57,41,55.0,62.0,45.0,0.0
2021-01-04,85,79,67,62,73.0,67,64,57,41,58.0,59.0,42.0,0.0
2021-01-05,85,79,67,62,77.0,67,64,57,41,57.0,60.0,38.0,0.0
2021-01-06,85,79,67,62,78.0,67,64,57,41,53.0,62.0,42.0,0.0
2021-01-07,85,79,67,62,80.0,67,64,57,41,53.0,65.0,38.0,0.0
2021-01-08,85,79,67,62,81.0,67,64,57,41,55.0,70.0,42.0,1.0
2021-01-09,85,79,67,62,78.0,67,64,57,41,56.0,64.0,40.0,0.0
2021-01-10,85,79,67,62,77.0,67,64,57,41,56.0,65.0,35.0,0.0
2021-01-11,85,79,67,62,74.0,67,64,57,41,54.0,68.0,38.0,1.0
2021-01-12,85,79,67,62,79.0,67,64,57,41,54.0,68.0,42.0,1.0
2021-01-13,85,79,67,62,80.0,67,64,57,41,57.0,72.0,37.0,1.0
2021-01-14,85,79,67,62,81.0,67,64,57,41,57.0,76.0,37.0,1.0
2021-01-15,85,79,67,63,82.0,67,64,57,41,55.0,76.0,43.0,1.0
2021-01-16,85,79,67,63,84.0,67,64,57,41,55.0,70.0,45.0,1.0
2021-01-17,85,79,67,63,83.0,67,64,57,42,58.0,77.0,44.0,1.0
2021-01-18,85,79,67,63,83.0,67,64,57,42,56.0,82.0,46.0,1.0
2021-01-19,85,79,67,63,81.0,67,64,57,42,56.0,72.0,55.0,1.0
2021-01-20,85,79,67,63,80.0,67,64,57,42,55.0,69.0,41.0,1.0
2021-01-21,85,79,67,63,76.0,67,64,57,42,55.0,66.0,36.0,0.0
2021-01-22,85,79,67,63,77.0,67,64,57,42,54.0,56.0,46.0,0.0
2021-01-23,85,79,67,63,78.0,67,64,57,42,56.0,62.0,40.0,0.0
2021-01-24,85,79,67,63,76.0,67,64,57,42,54.0,55.0,38.0,0.0
2021-01-25,85,79,67,63,83.0,67,64,57,42,53.0,58.0,43.0,0.0
2021-01-26,85,79,67,63,80.0,67,64,57,42,55.0,52.0,34.0,0.0
2021-01-27,85,79,67,63,80.0,67,64,57,42,54.0,53.0,45.0,0.0
2021-01-28,85,79,67,63,80.0,67,64,57,42,51.0,54.0,47.0,0.0
2021-01-29,85,79,67,63,78.0,67,64,57,42,55.0,61.0,41.0,0.0
2021-01-30,85,79,67,63,81.0,67,64,57,42,54.0,65.0,45.0,0.0
2021-01-31,85,79,67,63,77.0,67,64,57,42,55.0,65.0,45.0,0.0
2021-02-01,85,79,67,63,80.0,67,64,57,42,56.0,61.0,51.0,0.0
2021-02-02,85,79,67,63,83.0,67,64,57,42,54.0,60.0,40.0,0.0
2021-02-03,85,79,67,63,80.0,67,64,57,42,56.0,66.0,44.0,0.0
2021-02-04,85,79,67,63,79.0,67,64,57,42,55.0,67.0,38.0,1.0
2021-02-05,85,79,67,63,76.0,67,64,57,42,57.0,68.0,38.0,1.0
2021-02-06,85,79,67,63,81.0,67,64,57,42,62.0,73.0,36.0,1.0
2021-02-07,85,79,67,64,85.0,67,64,57,42,59.0,64.0,49.0,0.0
2021-02-08,85,79,67,64,85.0,67,64,57,42,57.0,62.0,46.0,0.0
2021-02-09,85,79,67,64,78.0,67,64,57,42,56.0,67.0,46.0,1.0
2021-02-10,85,79,67,64,79.0,67,64,57,43,56.0,61.0,45.0,0.0
2021-02-11,85,79,67,64,82.0,67,64,57,43,55.0,70.0,50.0,1.0
2021-02-12,85,79,67,64,83.0,67,64,57,43,59.0,70.0,43.0,1.0
2021-02-13,85,79,67,64,83.0,67,64,57,43,59.0,61.0,56.0,0.0
2021-02-14,85,79,67,64,82.0,67,64,57,43,56.0,73.0,38.0,1.0
2021-02-15,85,79,67,64,82.0,67,64,57,43,56.0,65.0,53.0,0.0
2021-02-16,85,79,67,64,85.0,67,64,57,43,55.0,64.0,41.0,
2021-02-17,85,79,67,64,86.0,67,64,57,43,57.0,,,
2021-02-18,85,79,67,64,85.0,67,64,57,43,56.0,71.0,38.0,
2021-02-19,85,79,67,64,84.0,67,64,57,43,55.0,,,
2021-02-20,85,79,67,64,84.0,67,64,57,43,56.0,,,
2021-02-21,85,79,67,64,80.0,67,64,57,43,55.0,,,
2021-02-22,85,79,67,64,79.0,67,64,57,43,55.0,,,
2021-02-23,85,79,67,64,89.0,67,64,57,43,56.0,78.0,39.0,1.0
2021-02-24,85,79,67,65,79.0,67,64,57,43,55.0,77.0,38.0,
2021-02-25,85,79,67,65,79.0,67,64,57,43,55.0,,,
2021-02-26,85,79,67,65,83.0,67,64,57,43,53.0,70.0,37.0,1.0
2021-02-27,85,79,67,65,85.0,67,64,57,43,59.0,69.0,38.0,1.0
2021-02-28,85,79,67,65,81.0,67,64,57,43,54.0,69.0,38.0,1.0
2021-03-01,85,79,67,65,81.0,67,64,57,44,58.0,66.0,38.0,0.0
