Date,MaxT_Red,MaxT_Orange,MaxT_Yellow,MaxT_Normal,MaxT_Records,MinT_Red,MinT_Orange,MinT_Yellow,MinT_Normal,MinT_Records,MaxT_Obs,MinT_Obs,HeatRisk
2017-01-01,89,82,69,43,65.0,73,69,61,27,48.0,52.0,32.0,0.0
2017-01-02,89,82,69,42,64.0,73,69,61,27,40.0,43.0,32.0,0.0
2017-01-03,89,82,69,42,64.0,73,69,61,27,50.0,47.0,41.0,0.0
2017-01-04,89,82,69,42,69.0,73,69,61,27,56.0,56.0,34.0,0.0
2017-01-05,89,82,69,42,66.0,73,69,61,27,52.0,34.0,25.0,0.0
2017-01-06,89,82,69,42,71.0,73,69,61,26,52.0,33.0,22.0,0.0
2017-01-07,89,82,69,42,66.0,73,69,61,26,53.0,24.0,15.0,0.0
2017-01-08,89,82,69,42,66.0,73,69,61,26,54.0,23.0,12.0,0.0
2017-01-09,89,82,69,42,66.0,73,69,61,26,42.0,23.0,10.0,0.0
2017-01-10,89,82,69,41,66.0,73,69,61,26,44.0,41.0,10.0,0.0
2017-01-11,89,82,69,41,69.0,73,69,61,26,50.0,53.0,37.0,0.0
2017-01-12,89,82,69,41,70.0,73,69,61,26,47.0,68.0,46.0,0.0
2017-01-13,89,82,69,41,70.0,73,69,61,26,49.0,59.0,35.0,0.0
2017-01-14,89,82,69,41,69.0,73,69,61,26,51.0,35.0,30.0,0.0
2017-01-15,89,82,69,41,72.0,73,69,61,25,51.0,43.0,27.0,0.0
2017-01-16,89,82,69,41,63.0,73,69,61,25,45.0,40.0,22.0,0.0
2017-01-17,89,82,69,41,59.0,73,69,61,25,40.0,44.0,37.0,0.0
2017-01-18,89,82,69,41,65.0,73,69,61,25,44.0,52.0,40.0,0.0
2017-01-19,89,82,69,41,66.0,73,69,61,25,43.0,51.0,34.0,0.0
2017-01-20,89,82,69,41,66.0,73,69,61,25,40.0,42.0,30.0,0.0
2017-01-21,89,82,69,41,62.0,73,69,61,25,42.0,47.0,42.0,0.0
2017-01-22,89,82,69,41,66.0,73,69,61,25,44.0,51.0,44.0,0.0
2017-01-23,89,82,69,41,65.0,73,69,61,25,46.0,47.0,38.0,0.0
2017-01-24,89,82,69,41,71.0,73,69,61,25,43.0,48.0,38.0,0.0
2017-01-25,89,82,69,41,67.0,73,69,61,25,45.0,54.0,41.0,0.0
2017-01-26,89,82,69,41,75.0,73,69,61,25,42.0,56.0,39.0,0.0
2017-01-27,89,82,69,41,68.0,73,69,61,25,50.0,44.0,34.0,0.0
2017-01-28,89,82,69,41,62.0,73,69,61,25,45.0,42.0,28.0,0.0
2017-01-29,89,82,69,41,70.0,73,69,61,25,41.0,45.0,27.0,0.0
2017-01-30,89,82,69,42,70.0,73,69,61,25,47.0,40.0,25.0,0.0
2017-01-31,89,82,69,42,65.0,73,69,61,25,40.0,44.0,23.0,0.0
2017-02-01,89,82,69,42,71.0,73,69,61,25,46.0,50.0,36.0,0.0
2017-02-02,89,82,69,42,64.0,73,69,61,25,44.0,48.0,29.0,0.0
2017-02-03,89,82,69,42,64.0,73,69,61,25,45.0,35.0,26.0,0.0
2017-02-04,89,82,69,42,68.0,73,69,61,25,44.0,37.0,18.0,0.0
2017-02-05,89,82,69,42,70.0,73,69,61,26,42.0,44.0,29.0,0.0
2017-02-06,89,82,69,42,71.0,73,69,61,26,46.0,56.0,31.0,0.0
2017-02-07,89,82,69,43,67.0,73,69,61,26,45.0,63.0,35.0,0.0
2017-02-08,89,82,69,43,70.0,73,69,61,26,48.0,70.0,48.0,0.0
2017-02-09,89,82,69,43,64.0,73,69,61,26,37.0,49.0,23.0,0.0
2017-02-10,89,82,69,43,63.0,73,69,61,26,43.0,34.0,20.0,0.0
2017-02-11,89,82,69,43,69.0,73,69,61,26,46.0,56.0,29.0,0.0
2017-02-12,89,82,69,43,71.0,73,69,61,26,42.0,46.0,32.0,0.0
2017-02-13,89,82,69,44,68.0,73,69,61,27,39.0,42.0,27.0,0.0
2017-02-14,89,82,69,44,67.0,73,69,61,27,47.0,46.0,26.0,0.0
2017-02-15,89,82,69,44,74.0,73,69,61,27,48.0,52.0,29.0,0.0
2017-02-16,89,82,69,44,74.0,73,69,61,27,48.0,40.0,28.0,0.0
2017-02-17,89,82,69,45,70.0,73,69,61,27,43.0,46.0,24.0,0.0
2017-02-18,89,82,69,45,72.0,73,69,61,27,46.0,69.0,25.0,0.0
2017-02-19,89,82,69,45,71.0,73,69,61,28,50.0,71.0,50.0,0.0
2017-02-20,89,82,69,45,75.0,73,69,61,28,49.0,60.0,39.0,0.0
2017-02-21,89,82,69,45,78.0,73,69,61,28,49.0,48.0,35.0,0.0
2017-02-22,89,82,69,46,69.0,73,69,61,28,46.0,57.0,39.0,0.0
2017-02-23,89,82,69,46,73.0,73,69,61,29,47.0,73.0,43.0,0.0
2017-02-24,89,82,69,46,78.0,73,69,61,29,49.0,73.0,48.0,0.0
2017-02-25,89,82,69,46,72.0,73,69,61,29,48.0,71.0,44.0,0.0
2017-02-26,89,82,69,47,67.0,73,69,61,29,47.0,44.0,31.0,0.0
2017-02-27,89,82,69,47,73.0,73,69,61,29,47.0,55.0,28.0,0.0
2017-02-28,89,82,69,47,66.0,73,69,61,30,46.0,66.0,39.0,0.0
2017-03-01,89,82,69,48,75.0,73,69,61,30,50.0,75.0,50.0,0.0
2017-03-02,89,82,69,48,77.0,73,69,61,30,57.0,62.0,35.0,0.0
2017-03-03,89,82,69,48,66.0,73,69,61,30,48.0,41.0,27.0,0.0
2017-03-04,89,82,69,48,76.0,73,69,61,31,53.0,38.0,20.0,0.0
2017-03-05,89,82,69,49,79.0,73,69,61,31,49.0,39.0,14.0,0.0
2017-03-06,89,82,69,49,67.0,73,69,61,31,44.0,48.0,22.0,0.0
2017-03-07,89,82,69,49,73.0,73,69,61,31,43.0,67.0,42.0,0.0
2017-03-08,89,82,69,50,81.0,73,69,61,32,52.0,64.0,47.0,0.0
2017-03-09,89,82,69,50,81.0,73,69,61,32,48.0,69.0,47.0,0.0
2017-03-10,89,82,69,50,80.0,73,69,61,32,54.0,49.0,27.0,0.0
2017-03-11,89,82,69,51,73.0,73,69,61,32,48.0,34.0,19.0,0.0
2017-03-12,89,82,69,51,85.0,73,69,61,33,50.0,38.0,21.0,0.0
2017-03-13,89,82,69,51,85.0,73,69,61,33,56.0,38.0,20.0,0.0
2017-03-14,89,82,69,52,77.0,73,69,61,33,52.0,35.0,23.0,0.0
2017-03-15,89,82,69,52,80.0,73,69,61,34,51.0,31.0,19.0,0.0
2017-03-16,89,82,69,52,79.0,73,69,61,34,57.0,38.0,21.0,0.0
2017-03-17,89,82,69,53,76.0,73,69,61,34,53.0,46.0,25.0,0.0
2017-03-18,89,82,69,53,78.0,73,69,61,34,47.0,46.0,37.0,0.0
2017-03-19,89,82,69,53,74.0,73,69,61,35,50.0,51.0,36.0,0.0
2017-03-20,89,82,69,54,80.0,73,69,61,35,57.0,52.0,31.0,0.0
2017-03-21,89,82,69,54,86.0,73,69,61,35,54.0,59.0,41.0,0.0
2017-03-22,89,82,69,55,82.0,73,69,61,36,62.0,52.0,26.0,0.0
2017-03-23,89,82,69,55,81.0,73,69,61,36,53.0,46.0,20.0,0.0
2017-03-24,89,82,69,55,75.0,73,69,61,36,51.0,56.0,31.0,0.0
2017-03-25,89,82,69,56,79.0,73,69,61,36,50.0,79.0,43.0,0.0
2017-03-26,89,82,69,56,75.0,73,69,61,37,51.0,46.0,42.0,0.0
2017-03-27,89,82,69,57,83.0,73,69,61,37,53.0,65.0,42.0,0.0
2017-03-28,89,82,69,57,83.0,73,69,61,37,60.0,57.0,49.0,0.0
2017-03-29,89,82,69,57,84.0,73,69,61,38,61.0,63.0,44.0,0.0
2017-03-30,89,82,69,58,86.0,73,69,61,38,56.0,49.0,32.0,0.0
2017-03-31,89,82,69,58,82.0,73,69,61,38,57.0,54.0,39.0,0.0
2017-04-01,89,82,69,59,81.0,73,69,61,39,62.0,56.0,40.0,0.0
2017-04-02,89,82,69,59,83.0,73,69,61,39,51.0,63.0,38.0,0.0
2017-04-03,89,82,69,59,86.0,73,69,61,39,57.0,66.0,42.0,0.0
2017-04-04,89,82,69,60,80.0,73,69,61,40,59.0,78.0,54.0,0.0
2017-04-05,89,82,69,60,82.0,73,69,61,40,54.0,67.0,51.0,0.0
2017-04-06,89,82,69,61,86.0,73,69,61,40,56.0,59.0,47.0,0.0
2017-04-07,89,82,69,61,87.0,73,69,61,41,61.0,50.0,42.0,0.0
2017-04-08,89,82,69,61,86.0,73,69,61,41,58.0,60.0,36.0,0.0
2017-04-09,89,82,69,62,85.0,73,69,61,41,66.0,68.0,33.0,0.0
2017-04-10,89,82,69,62,90.0,73,69,61,42,61.0,79.0,43.0,0.0
2017-04-11,89,82,69,63,82.0,73,69,61,42,51.0,82.0,51.0,1.0
2017-04-12,89,82,69,63,87.0,73,69,61,42,57.0,76.0,54.0,0.0
2017-04-13,89,82,69,63,85.0,73,69,61,43,61.0,68.0,47.0,0.0
2017-04-14,89,82,69,64,83.0,73,69,61,43,60.0,68.0,46.0,0.0
2017-04-15,89,82,69,64,84.0,73,69,61,43,62.0,67.0,45.0,0.0
2017-04-16,89,82,69,65,89.0,73,69,61,44,63.0,86.0,55.0,1.0
2017-04-17,89,82,69,65,92.0,73,69,61,44,60.0,71.0,57.0,0.0
2017-04-18,89,82,69,65,87.0,73,69,61,44,65.0,68.0,48.0,0.0
2017-04-19,89,82,69,66,92.0,73,69,61,45,63.0,59.0,46.0,0.0
2017-04-20,89,82,69,66,90.0,73,69,61,45,60.0,76.0,55.0,0.0
2017-04-21,89,82,69,66,92.0,73,69,61,45,61.0,65.0,54.0,0.0
2017-04-22,89,82,69,67,94.0,73,69,61,46,59.0,58.0,48.0,0.0
2017-04-23,89,82,69,67,89.0,73,69,61,46,65.0,63.0,44.0,0.0
2017-04-24,89,82,69,68,84.0,73,69,61,46,61.0,60.0,50.0,0.0
2017-04-25,89,82,69,68,89.0,73,69,61,47,59.0,57.0,52.0,0.0
2017-04-26,89,82,69,68,92.0,73,69,61,47,64.0,66.0,56.0,0.0
2017-04-27,89,82,69,68,91.0,73,69,61,47,64.0,76.0,58.0,0.0
2017-04-28,89,82,69,69,89.0,73,69,61,48,64.0,84.0,60.0,1.0
2017-04-29,89,82,69,69,91.0,73,69,61,48,65.0,87.0,65.0,1.0
2017-04-30,89,82,69,69,86.0,73,69,61,48,62.0,76.0,53.0,0.0
2017-05-01,89,82,69,70,90.0,73,69,61,49,61.0,82.0,53.0,1.0
2017-05-02,89,82,69,70,88.0,73,69,61,49,66.0,76.0,64.0,1.0
2017-05-03,89,82,69,70,90.0,73,69,61,49,70.0,66.0,45.0,0.0
2017-05-04,89,82,69,71,88.0,73,69,61,50,67.0,65.0,43.0,0.0
2017-05-05,89,82,69,71,88.0,73,69,61,50,64.0,68.0,53.0,0.0
2017-05-06,89,82,69,71,89.0,73,69,61,50,68.0,65.0,51.0,0.0
2017-05-07,89,82,69,71,91.0,73,69,61,51,67.0,60.0,45.0,0.0
