GHCN,NAME,STATE,LATITUDE,LONGITUDE
USW00013896,MUSCLE SHOALS AP,AL,34.744,-87.6
USC00013160,GAINESVILLE LOCK,AL,32.835,-88.134
USC00012813,FAIRHOPE 2 NE,AL,30.547,-87.881
USC00013511,GREENSBORO,AL,32.692,-87.576
USC00017157,SAINT BERNARD,AL,34.174,-86.813
USC00017304,SCOTTSBORO,AL,34.674,-86.054
USC00017366,SELMA,AL,32.411,-87.014
USC00018024,TALLADEGA,AL,33.417,-86.134
USC00018323,TROY,AL,31.808,-85.972
USC00018469,VALLEY HEAD,AL,34.569,-85.606
USC00011803,CODEN,AL,30.387,-88.227
USC00016988,ROBERTSDALE,AL,30.565,-87.702
USC00010583,BAY MINETTE,AL,30.884,-87.785
USC00012675,ENTERPRISE 4 W,AL,31.297,-85.89
USC00010252,ANDALUSIA 3 W,AL,31.307,-86.523
USC00013761,HEADLAND,AL,31.383,-85.368
USC00012758,EVERGREEN,AL,31.445,-86.953
USC00011566,CHATOM,AL,31.471,-88.25
USC00011725,CLAYTON,AL,31.871,-85.45
USC00013519,GREENVILLE,AL,31.79,-86.609
USC00015121,MARION JUNCTION 2 NE,AL,32.472,-87.231
USC00016129,OPELIKA,AL,32.659,-85.45
USC00018209,THORSBY EXP STATION,AL,32.92,-86.671
USC00014502,LAFAYETTE 2W,AL,32.907,-85.434
USC00010160,ALEXANDER CITY,AL,32.935,-85.956
USC00010178,ALICEVILLE,AL,33.127,-88.155
USC00017999,SYLACAUGA 4 NE,AL,33.205,-86.195
USC00010369,ASHLAND 3 ENE,AL,33.294,-85.779
USC00011620,CHILDERSBURG WTR PL,AL,33.282,-86.343
USC00018517,VERNON,AL,33.742,-88.125
USC00016121,ONEONTA,AL,33.926,-86.421
USC00013154,GADSDEN,AL,34.022,-85.988
USC00017207,SAND MT SUBSTATION,AL,34.288,-85.968
USC00013620,HALEYVILLE,AL,34.231,-87.635
USC00013573,GUNTERSVILLE,AL,34.334,-86.33
USC00015635,MOULTON 2,AL,34.488,-87.299
USC00010655,BELLE MINA 2 N,AL,34.689,-86.882
USC00011099,BRIDGEPORT 5 NW,AL,34.981,-85.81
USC00016478,PINSON,AL,33.691,-86.685
USW00013839,DOTHAN REGIONAL AP,AL,31.318,-85.443
USW00013871,ANNISTON METROPOLITAN AP,AL,33.59,-85.848
USW00003856,HUNTSVILLE INTNL AP,AL,34.644,-86.786
USW00013894,MOBILE REGIONAL AP,AL,30.688,-88.246
USC00020080,AJO,AZ,32.37,-112.86
USC00021248,CANYON DE CHELLY,AZ,36.153,-109.539
USC00023160,FORT VALLEY,AZ,35.272,-111.73
USC00026796,PRESCOTT,AZ,34.571,-112.432
USC00027281,ROOSEVELT 1 S,AZ,33.649,-111.109
USC00027390,SAFFORD AGRICULTURAL CENTER,AZ,32.815,-109.681
USC00027435,SAINT JOHNS,AZ,34.518,-109.401
USC00027716,SELIGMAN,AZ,35.332,-112.879
USC00028619,TOMBSTONE,AZ,31.712,-110.069
USC00029287,WICKENBURG,AZ,33.979,-112.74
USC00029359,WILLIAMS,AZ,35.241,-112.193
USC00020672,BEAVER DAM,AZ,36.914,-113.942
USC00022140,CORONADO NATIONAL MEMORIAL,AZ,31.346,-110.254
USC00025924,NOGALES 6 N,AZ,31.455,-110.968
USC00027619,SASABE,AZ,31.483,-111.544
USC00028865,TUMACACORI NM,AZ,31.568,-111.05
USC00026716,PORTAL 4 SW,AZ,31.883,-109.206
USC00026353,PEARCE - SUNSITES,AZ,31.936,-109.838
USC00020683,BENSON 6 SE,AZ,31.881,-110.24
USC00026132,ORGAN PIPE CACTUS NM,AZ,31.956,-112.8
USC00020287,ANVIL RANCH,AZ,31.979,-111.384
USC00029334,WILLCOX,AZ,32.255,-109.837
USC00021330,CASCABEL,AZ,32.262,-110.348
USC00028396,TACNA 3 NE,AZ,32.722,-113.919
USC00022754,DUNCAN,AZ,32.748,-109.121
USW00003125,YUMA PROVING GROUND,AZ,32.836,-114.394
USC00023393,GILA BEND 2SE,AZ,32.938,-112.681
USC00023150,FORT THOMAS 2 SW,AZ,33.009,-109.986
USC00021314,CASA GRANDE NATL MONUMENT,AZ,32.995,-111.537
USC00025270,MARICOPA 4 N,AZ,33.114,-112.03
USC00024702,KOFA MINE,AZ,33.274,-113.965
USC00024829,LAVEEN 3 SSE,AZ,33.337,-112.147
USC00020808,BLACK RIVER PUMPS,AZ,33.478,-109.752
USC00026865,QUARTZSITE,AZ,33.665,-114.228
USC00021282,CAREFREE,AZ,33.816,-111.902
USC00020159,ALPINE,AZ,33.849,-109.147
USC00021353,CASTLE HOT SPRINGS,AZ,33.983,-112.363
USC00020949,BOUSE,AZ,33.943,-114.024
USC00025412,MCNARY 2N,AZ,34.113,-109.86
USC00026653,PLEASANT VALLEY,AZ,34.1,-110.966
USC00028162,SPRINGERVILLE,AZ,34.131,-109.275
USW00093139,PAYSON,AZ,34.233,-111.345
USC00022109,CORDES,AZ,34.305,-112.165
USC00023961,HEBER (BLACK MESA) RANGER STATION,AZ,34.392,-110.558
USC00028012,SNOWFLAKE,AZ,34.508,-110.084
USW00023184,PRESCOTT LOVE FIELD,AZ,34.649,-112.422
USC00020586,BAGDAD,AZ,34.597,-113.174
